Title,Url,Length,Viewed,Bookmark,Tags,AddDate
"Noam Chomsky - Spencer vs. Kropotkin - YouTube",https://www.youtube.com/watch?v=AyC0sZ3rLz0,short,1,,Chomsky,1467328294
"Noam Chomsky on Anarcho-primitivism - YouTube",https://www.youtube.com/watch?v=5qIzP5fisxY,short,1,,Chomsky,1467328294
"Noam Chomsky - Communication and Language - YouTube",https://www.youtube.com/watch?v=gAm8ee_fooI,short,1,,Chomsky,1467328294
"Noam Chomsky - Drugs - YouTube",https://www.youtube.com/watch?v=HIK46KSEXJU,short,0,,Chomsky,1467328294
"Noam Chomsky: Brazil's President Dilma Rousseff ""Impeached by a Gang of Thieves"" - YouTube",https://www.youtube.com/watch?v=33V-JTtYbqE,short,0,,Chomsky,1467328294
"Noam Chomsky The Unsolved Mysteries of Language FULL - YouTube",https://www.youtube.com/watch?v=Nto0QwJ4-OE,long,0,,Chomsky,1467328294
"Professor Richard D Wolff interviewed on Real Time with Bill Maher - YouTube",https://www.youtube.com/watch?v=W-6nrAnDGyU,short,1,,Wolff,1467328294
"Austerity and Neoliberalism in Greece with Richard Wolff and Barry Herman | The New School - YouTube",https://www.youtube.com/watch?v=_WhZXhRS3F4,long,0,,Wolff,1467328294
"How Class Works -- by Richard Wolff - YouTube",https://www.youtube.com/watch?v=euH3pAuLuko,short,1,,Wolff,1467328294
"Socialism For Dummies. - YouTube",https://www.youtube.com/watch?v=ysZC0JOYYWw,long,0,,Wolff,1467328294
"Richard Wolff To Peter Schiff - Your System Deprives Masses Of Decent Living Standard - YouTube",https://www.youtube.com/watch?v=xCsJ7KoU1CA,short,1,,Wolff,1467328294
"Richard Wolff: Why Oil & Gas Prices are dropping - YouTube",https://www.youtube.com/watch?v=LCW7lWZ5CiE,long,1,,Wolff,1467328294
"Barry Sanders: The Subversive Humor of Lenny Bruce - YouTube",https://www.youtube.com/watch?v=4sOudBIDpzY,short,0,,"Barry Sanders",1467328294
"Alan Watts -- LSD + ZEN - YouTube",https://www.youtube.com/watch?v=oHR2KNZg8q0,long,1,,Watts,1467328294
"Reaganomics: 32 Years of Failed Policy | Interview with Richard Wolff - YouTube",https://www.youtube.com/watch?v=-F2JIHNLQSc,short,1,,Wolff,1467328294
"Dangerous Thoughts: There IS a Tipping Point For Revolution in America: Dr. Richard Wolff - YouTube",https://www.youtube.com/watch?v=14Ue60RBD-Y,short,1,,Wolff,1467328294
"Dont Talk to Police - YouTube",https://www.youtube.com/watch?v=6wXkI4t7nuc,long,0,,law,1467328294
"Sleeping on the Floor How and Why - YouTube",https://www.youtube.com/watch?v=xpiwZXMQuKk,long,1,,"floor, primal, rewild, paleo",1467328294
"Alan Watts Lectures ~ The Spiritual Teachings of Zen - YouTube",https://www.youtube.com/watch?v=XJpdcABo5aw,long,1,,Watts,1467328294
"Alan Watts - Are You Addicted To Thoughts? - YouTube",https://www.youtube.com/watch?v=lrU2Sr4z-K4,short,1,,Watts,1467328294
"Alan Watts - Best Description of LSD - YouTube",https://www.youtube.com/watch?v=FTej5qPURaE,short,1,,Watts,1467328294
"Alan Watts - LSD & Society (Lecture) - YouTube",https://www.youtube.com/watch?v=hqSyfsOCFWs,long,0,,Watts,1467328294
"Warning! Dangerous Minds: Dr. Richard Wolff Gives A No BS Breakdown of The Sequester - YouTube",https://www.youtube.com/watch?v=rJa7vrZEYKc,short,1,,Wolff,1467328294
"Story Disruption & Morphogenesis, Charles Eisenstein - YouTube",https://www.youtube.com/watch?v=eJWWEd8j_Y8,long,1,,Eisenstein,1467328294
"Charles Eisenstein | Sacred Economics | A Sacred Conversation | Full Talk - YouTube",https://www.youtube.com/watch?v=rcE9PT92zK4,long,0,,Eisenstein,1467328294
"The Way of Zen: Zen Buddhism Documentary - World Documentary Channel - YouTube",https://www.youtube.com/watch?v=IwzFOf9eilQ,long,1,,Zen,1467328294
"Zen - Introduction to zen practice / full version - Taigen Shodo Harada Roshi - YouTube",https://www.youtube.com/watch?v=LL2XUTeoUsM,long,0,,Zen,1467328294
"A Teaching From Zen Master Jinen - YouTube",https://www.youtube.com/watch?v=APjXpUnHw20,short,0,,Zen,1467328294
"Alok Tao of Peace - YouTube",https://www.youtube.com/watch?v=D530NVkI0ak,short,0,,Zen,1467328294
"Stop Trying To Be A Good Person",https://www.youtube.com/watch?v=3QPHOLGO49s,short,1,,Eisenstein,1467328294
"Sacred Economics with Charles Eisenstein - A Short Film - YouTube",https://www.youtube.com/watch?v=EEZkQv25uEs,short,1,,Eisenstein,1467328294
"A New Story of the People: Charles Eisenstein at TEDxWhitechapel - YouTube",https://www.youtube.com/watch?v=Mjoxh4c2Dj0,long,0,,Eisenstein,1467328294
"TEDxWilliamsport - Dr. Derek Cabrera - How Thinking Works - YouTube",https://www.youtube.com/watch?v=dUqRTWCdXt4,long,1,,"Derek Cabrera, DSRP",1467328294
"TED Talk Dr. Cabrera: A BIG TOE (Theory of Everything) - YouTube",https://www.youtube.com/watch?v=farhdoG5Y6c,long,0,,"Derek Cabrera, DSRP",1467328294
